|shop_url|games|
| 0416x1024             |  6 |
| 3c-phone              |  2 |
| 3m-shop               |  1 |
| 77sopretty            |  2 |
| 8club                 |  1 |
| 92books               |  1 |
| 93coffeewholesale     |  1 |
| allezvoyager          |  1 |
| allys                 |  1 |
| anikiroom             |  1 |
| ankangstore           |  2 |
| annahome              |  2 |
| arexsport             |  1 |
| asokatw               |  1 |
| babies                |  2 |
| bbtiger               |  1 |
| bemyboyfriend         |  1 |
| bobovicky             |  1 |
| bowandlace            |  2 |
| brae230876            |  1 |
| ccherb                |  1 |
| cerealkitchen         |  1 |
| chichididi            |  2 |
| chsiangting           |  1 |
| collector             |  3 |
| crystal168            |  1 |
| ctlpaint              |  1 |
| cutestone             |  3 |
| d-victory             | 16 |
| dashop                | 36 |
| delife                |  2 |
| ehome                 |  2 |
| enenshop              |  1 |
| ez80                  |  1 |
| fees                  |  1 |
| foundgoody            |  1 |
| fresh-days            |  2 |
| funaicare             |  1 |
| funbag2019            |  2 |
| gelovery              |  2 |
| gentle-skin           |  1 |
| gentlemanboutique     |  1 |
| gogo99750             |  4 |
| goodslife             |  1 |
| grace16888            |  1 |
| gratis                |  1 |
| halalan-toyyiban-mart |  1 |
| haole                 |  1 |
| happyhappy            |  1 |
| happyogc              |  1 |
| hergin                |  1 |
| hsiehfahang           |  1 |
| i-wens                |  1 |
| ibabymall-tw          |  2 |
| iboutique             |  2 |
| jialian               |  1 |
| johnhouse             |  5 |
| just-lighting         |  1 |
| kabuafarm             |  1 |
| kaidi                 |  1 |
| kellystore            |  1 |
| komonoya              |  2 |
| kstyle                |  1 |
| laclick               |  1 |
| ladybugvitality       |  2 |
| laopaichang           |  1 |
| leiman                |  1 |
| lifestyle-outdoor     |  1 |
| lotigo                |  1 |
| lovestory             |  1 |
| lyreishop             |  2 |
| mg98322               |  1 |
| minliu                |  1 |
| mombaby0105           |  1 |
| moon2light2           |  1 |
| mp-watch              |  1 |
| myhome8               |  1 |
| mymasy                |  2 |
| mywowshop             |  2 |
| n26337073             |  1 |
| nornstw               |  2 |
| okin                  |  1 |
| organismhouse         |  1 |
| oweida                |  1 |
| pavro                 |  1 |
| pen-links             |  1 |
| pixmawifi             |  1 |
| promise-life          |  2 |
| pureone               |  1 |
| puter2019             |  3 |
| qdshop                |  1 |
| rakutenbuy            |  1 |
| rbook                 |  1 |
| relight8858           |  2 |
| rinerhan              |  2 |
| rosiecoffee           |  1 |
| sbreeze               |  1 |
| scake                 |  1 |
| senguo                |  1 |
| shr-family            |  1 |
| sis                   |  2 |
| slowleaf              |  1 |
| spa99                 |  4 |
| starry                |  2 |
| sunnysasa             |  1 |
| superdrybuy           |  1 |
| sweetfish             |  1 |
| symphox               |  1 |
| tenfull1987           |  1 |
| tham                  |  1 |
| thelife               |  1 |
| tinaestore            |  2 |
| togetla               |  2 |
| treemall              |  1 |
| trikofoods            |  1 |
| tumbler               |  2 |
| viking                |  1 |
| violamour             |  1 |
| wecare168             |  4 |
| wendad                |  2 |
| wumama                |  2 |
| wuming                |  1 |
| yi-fang-tian          |  1 |
| yohopower             |  1 |
| youyo-kids            |  1 |
| zhenyuhouse           |  1 |
